it	prior	PP_lik	BD_lik	q_0	q_1	q_2	root_age	death_age	w_shape	w_scale_0	mean_longevity_0	tot_length	
182	-12.815296	-5971.827204	-1185.367041	1.828660	1.051275	0.015603	25.733947	0.035372	0.774769	1.822807	2.114916	1680.650708
183	-12.588117	-5970.123481	-1183.324293	1.759460	0.952257	0.018751	25.146487	0.031062	0.796221	1.924133	2.187488	1688.281282
184	-13.198046	-5938.855746	-1190.691895	1.761450	0.975757	0.004693	23.391213	0.112910	0.716616	1.610318	1.994361	1674.581492
185	-12.364094	-5982.177845	-1209.276750	1.743024	0.843081	0.023943	24.093313	0.090838	0.807329	2.152640	2.423240	1707.881511
186	-13.277255	-5994.794890	-1203.477111	1.822270	0.877332	0.004660	25.223807	0.023034	0.726676	1.670171	2.042853	1713.548453
187	-13.564075	-6047.703044	-1200.274406	1.747336	0.971478	0.002819	26.066476	0.243397	0.856747	2.091356	2.264197	1726.151684
188	-12.428056	-5999.617602	-1197.984794	1.781458	0.945561	0.024444	24.085302	0.048718	0.696439	1.660092	2.111683	1709.976207
189	-12.420085	-5966.721295	-1188.600828	1.847602	0.889049	0.025053	23.672451	0.078769	0.780947	1.827886	2.108022	1687.460498
190	-11.981182	-5936.340209	-1196.110805	1.832483	0.864871	0.062959	23.755106	0.032225	0.676341	1.596857	2.091217	1671.597444
191	-12.926668	-5866.320002	-1187.150168	1.834372	0.826913	0.008254	23.889623	0.138543	0.642507	1.492824	2.066353	1635.966533
192	-13.261552	-6011.917664	-1194.850328	1.758784	0.926299	0.004447	24.774323	0.027754	0.850771	2.011786	2.187496	1691.144248
193	-13.354691	-5966.263895	-1180.325050	1.801248	1.051456	0.004274	23.999507	0.111494	0.753991	1.832365	2.172220	1671.501126
194	-13.620288	-5966.516939	-1188.351892	1.820831	0.916452	0.002283	24.460333	0.003635	0.704381	1.659295	2.087997	1675.894109
195	-12.946454	-6042.130629	-1196.517266	1.725138	0.992473	0.008271	24.280229	0.126545	0.705796	1.792622	2.251522	1710.914024
196	-12.328663	-6010.748478	-1186.840405	1.724761	1.002109	0.028233	23.618659	0.093601	0.782064	1.902777	2.192030	1690.188772
197	-12.527265	-5937.759795	-1186.967427	1.904905	0.940497	0.023898	23.871800	0.094585	0.725125	1.705498	2.090005	1653.820226
198	-12.725476	-5982.187456	-1188.675112	1.768719	1.064372	0.014757	23.864168	0.014354	0.765044	1.924446	2.254910	1673.456932
199	-12.481150	-6022.480856	-1202.626591	1.744847	0.733529	0.016444	23.975821	0.032298	0.713063	1.817649	2.261373	1711.317869
