fraction,tree,extinction,estimate,mape
0.25,tree.171,no_ext,mape.incomplete,55.18375439325137
0.25,tree.171,no_ext,mape.mean,61.365600730542766
0.25,tree.171,no_ext,mape.median,56.7180248360354
0.25,tree.171,no_ext,mape.mean.new,44.28406898733536
0.25,tree.171,no_ext,mape.median.new,55.18375633167009
0.25,tree.172,no_ext,mape.incomplete,68.91762001689501
0.25,tree.172,no_ext,mape.mean,67.29629080841121
0.25,tree.172,no_ext,mape.median,69.75302953839505
0.25,tree.172,no_ext,mape.mean.new,58.69745674117268
0.25,tree.172,no_ext,mape.median.new,68.91762092554605
0.25,tree.173,no_ext,mape.incomplete,93.11410309444432
0.25,tree.173,no_ext,mape.mean,88.35570642756252
0.25,tree.173,no_ext,mape.median,93.97173197091459
0.25,tree.173,no_ext,mape.mean.new,84.58532928256314
0.25,tree.173,no_ext,mape.median.new,93.11410348250726
0.25,tree.174,no_ext,mape.incomplete,44.328827080878135
0.25,tree.174,no_ext,mape.mean,50.21354639843605
0.25,tree.174,no_ext,mape.median,44.932023470878534
0.25,tree.174,no_ext,mape.mean.new,45.40924479955555
0.25,tree.174,no_ext,mape.median.new,44.328828626798554
0.25,tree.175,no_ext,mape.incomplete,108.99770012401481
0.25,tree.175,no_ext,mape.mean,101.99188410338971
0.25,tree.175,no_ext,mape.median,109.99522352711071
0.25,tree.175,no_ext,mape.mean.new,84.67425464464962
0.25,tree.175,no_ext,mape.median.new,108.99770033604148
0.25,tree.176,no_ext,mape.incomplete,92.60213297062695
0.25,tree.176,no_ext,mape.mean,84.59403975245276
0.25,tree.176,no_ext,mape.median,92.73277193601007
0.25,tree.176,no_ext,mape.mean.new,79.63149776768107
0.25,tree.176,no_ext,mape.median.new,92.6021320010882
0.25,tree.177,no_ext,mape.incomplete,6589.61315850843
0.25,tree.177,no_ext,mape.mean,5190.220008140339
0.25,tree.177,no_ext,mape.median,6579.079069794266
0.25,tree.177,no_ext,mape.mean.new,5186.001964535374
0.25,tree.177,no_ext,mape.median.new,6589.6129636707965
0.25,tree.178,no_ext,mape.incomplete,139.97529093133747
0.25,tree.178,no_ext,mape.mean,125.45719874845791
0.25,tree.178,no_ext,mape.median,139.91447708453023
